ax,ay,az,gx,gy,gz,target,target_name
0.08,0.97,0.02,-1.59,0.79,-0.49,0.0,left-right
0.08,0.99,0.02,-1.1,0.73,-0.49,0.0,left-right
0.08,0.97,0.02,-0.73,0.67,-0.55,0.0,left-right
0.08,0.98,0.02,-1.22,0.85,-0.67,0.0,left-right
0.08,0.98,0.02,-1.04,0.67,-0.49,0.0,left-right
0.08,0.97,0.02,-1.89,0.92,-0.55,0.0,left-right
0.08,0.99,0.01,-2.62,1.1,-0.55,0.0,left-right
0.08,0.97,0.02,-2.62,0.98,-0.43,0.0,left-right
0.08,0.98,0.01,-3.11,1.1,-0.43,0.0,left-right
0.08,0.98,0.01,-3.6,1.28,-0.43,0.0,left-right
0.08,0.99,0.01,-3.3,0.98,-0.18,0.0,left-right
0.08,0.97,0.01,-3.66,1.22,-0.49,0.0,left-right
0.08,0.98,0.01,-3.36,1.04,-0.31,0.0,left-right
0.08,0.98,0.01,-2.75,0.92,-0.43,0.0,left-right
0.08,0.98,0.01,-1.89,0.85,-0.55,0.0,left-right
0.08,0.98,0.01,-1.34,0.61,-0.67,0.0,left-right
0.08,0.99,0.01,0.18,0.49,-0.73,0.0,left-right
0.08,0.98,0.01,1.59,0.37,-0.92,0.0,left-right
0.08,0.98,0.01,2.26,0.18,-1.16,0.0,left-right
0.08,0.98,0.02,2.32,0.12,-0.98,0.0,left-right
0.08,0.97,0.02,1.28,0.18,-0.98,0.0,left-right
0.08,0.98,0.02,-0.31,0.61,-0.79,0.0,left-right
0.08,0.98,0.02,-2.08,0.92,-0.49,0.0,left-right
0.08,0.98,0.01,-3.6,1.16,-0.31,0.0,left-right
0.08,0.98,0.01,-4.03,1.4,-0.37,0.0,left-right
0.08,0.99,0.02,-2.93,1.04,-0.31,0.0,left-right
0.08,0.97,0.02,-2.2,1.1,-0.55,0.0,left-right
0.08,0.98,0.02,-1.34,0.85,-0.73,0.0,left-right
0.08,0.98,0.02,-0.37,0.43,-0.67,0.0,left-right
0.08,0.98,0.01,0.31,0.49,-0.98,0.0,left-right
0.08,0.98,0.01,-0.12,0.49,-0.79,0.0,left-right
0.08,0.98,0.02,-1.16,0.55,-0.67,0.0,left-right
0.08,0.97,0.01,-2.44,0.98,-0.61,0.0,left-right
0.08,0.98,0.01,-3.78,1.16,-0.49,0.0,left-right
0.08,0.98,0.01,-3.91,1.16,-0.18,0.0,left-right
0.08,0.98,0.01,-3.48,1.4,-0.37,0.0,left-right
0.08,0.98,0.01,-2.99,0.98,-0.18,0.0,left-right
0.08,0.98,0.01,-2.01,0.92,-0.43,0.0,left-right
0.08,0.98,0.01,-1.16,0.79,-0.61,0.0,left-right
